School_Year,Date,Day,School,Calendar_or_Scope,Closure_Type,Event,Parent_Teacher_Conference,Full_Day_No_School,Verification_Status,Data_Coverage,Notes,Source_URL,Secondary_Source_URL
2026-27,2026-10-19,Monday,Durham Academy,All students,Break,Fall Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-10-30,Friday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2026-10-30,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,School Closure,School closed — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-11-02,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-03,Tuesday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday / Election Day,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2026-11-03,Tuesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-06,Friday,Durham Academy,All students,Conference / Workday,Family Conferences / Faculty Work Day,Yes,Yes,Official,Complete,Conference designation is explicit on the all-school calendar.,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-11-11,Wednesday,Chapel Hill-Carrboro City Schools,All students,Holiday,Veterans Day,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2026-11-11,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Veterans Day,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-23,Monday,Chapel Hill-Carrboro City Schools,All students,Break,Thanksgiving Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-23,Monday,Duke School,Preschool–Grade 8,Break,Fall Break — School Closed,No,Yes,Publicly verified,Partial public coverage — full family calendar/conference dates are in DragonConnect,"Verified school profile calendar entry. Duke School states that additional no-class days include professional development and parent/teacher conferences, but the full dates are not exposed on the public calendar.",https://www.dukeschool.org/discover/school-calendar,https://www.privateschoolreview.com/duke-school-profile
2026-27,2026-11-23,Monday,Durham Academy,All students,Break,Thanksgiving Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-11-23,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Teacher Workday,Teacher Workday (Thanksgiving-week closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-23,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Thanksgiving break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-11-24,Tuesday,Chapel Hill-Carrboro City Schools,All students,Break,Thanksgiving Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-24,Tuesday,Duke School,Preschool–Grade 8,Break,Fall Break — School Closed,No,Yes,Publicly verified,Partial public coverage — full family calendar/conference dates are in DragonConnect,"Verified school profile calendar entry. Duke School states that additional no-class days include professional development and parent/teacher conferences, but the full dates are not exposed on the public calendar.",https://www.dukeschool.org/discover/school-calendar,https://www.privateschoolreview.com/duke-school-profile
2026-27,2026-11-24,Tuesday,Durham Academy,All students,Break,Thanksgiving Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-11-24,Tuesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Annual Leave (Thanksgiving-week closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-24,Tuesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Thanksgiving break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-11-25,Wednesday,Chapel Hill-Carrboro City Schools,All students,Break,Thanksgiving Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-25,Wednesday,Duke School,Preschool–Grade 8,Break,Fall Break — School Closed,No,Yes,Publicly verified,Partial public coverage — full family calendar/conference dates are in DragonConnect,"Verified school profile calendar entry. Duke School states that additional no-class days include professional development and parent/teacher conferences, but the full dates are not exposed on the public calendar.",https://www.dukeschool.org/discover/school-calendar,https://www.privateschoolreview.com/duke-school-profile
2026-27,2026-11-25,Wednesday,Durham Academy,All students,Break,Thanksgiving Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-11-25,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Annual Leave (Thanksgiving-week closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-25,Wednesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Thanksgiving break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-11-26,Thursday,Chapel Hill-Carrboro City Schools,All students,Break,Thanksgiving Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-26,Thursday,Durham Academy,All students,Break,Thanksgiving Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-11-26,Thursday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Thanksgiving holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-26,Thursday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Thanksgiving break continuation,No,Yes,Best-effort break continuation,Best-effort public coverage,"Not separately listed on the School's Out camp schedule, likely because Jewish for Good itself is closed; included as continuation of the surrounding school break.",https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-27,Friday,Chapel Hill-Carrboro City Schools,All students,Break,Thanksgiving Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-27,Friday,Durham Academy,All students,Break,Thanksgiving Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-11-27,Friday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Thanksgiving holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-11-27,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Thanksgiving break continuation,No,Yes,Best-effort break continuation,Best-effort public coverage,"Not separately listed on the School's Out camp schedule, likely because Jewish for Good itself is closed; included as continuation of the surrounding school break.",https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-21,Monday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-21,Monday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-21,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Teacher Workday,Teacher Workday (winter closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-21,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-12-22,Tuesday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-22,Tuesday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-22,Tuesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Teacher Workday,Teacher Workday (winter closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-22,Tuesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-12-23,Wednesday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-23,Wednesday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-23,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Annual Leave (winter closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-23,Wednesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-12-24,Thursday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-24,Thursday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-24,Thursday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Winter holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-24,Thursday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break continuation,No,Yes,Best-effort break continuation,Best-effort public coverage,"Not separately listed on the School's Out camp schedule, likely because Jewish for Good itself is closed; included as continuation of the surrounding school break.",https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-25,Friday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-25,Friday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-25,Friday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Winter holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-25,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break continuation,No,Yes,Best-effort break continuation,Best-effort public coverage,"Not separately listed on the School's Out camp schedule, likely because Jewish for Good itself is closed; included as continuation of the surrounding school break.",https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-28,Monday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-28,Monday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-28,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Winter holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-28,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-12-29,Tuesday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-29,Tuesday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-29,Tuesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Annual Leave (winter closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-29,Tuesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-12-30,Wednesday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-30,Wednesday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-30,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Annual Leave (winter closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-30,Wednesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break / school closed,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2026-12-31,Thursday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-31,Thursday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-12-31,Thursday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Annual Leave (winter closure),No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-12-31,Thursday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break continuation,No,Yes,Best-effort break continuation,Best-effort public coverage,"Not separately listed on the School's Out camp schedule, likely because Jewish for Good itself is closed; included as continuation of the surrounding school break.",https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-01-01,Friday,Chapel Hill-Carrboro City Schools,All students,Break,Winter Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-01-01,Friday,Durham Academy,All students,Break,Winter Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-01-01,Friday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,New Year's Day / winter holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-01-01,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Winter break continuation,No,Yes,Best-effort break continuation,Best-effort public coverage,"Not separately listed on the School's Out camp schedule, likely because Jewish for Good itself is closed; included as continuation of the surrounding school break.",https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-01-04,Monday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-01-04,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,School Closure,School closed — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-01-18,Monday,Chapel Hill-Carrboro City Schools,All students,Holiday,Martin Luther King Jr. Day,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-01-18,Monday,Durham Academy,All students,Holiday,Martin Luther King Jr. Day,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-01-18,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Martin Luther King Jr. Day,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-01-19,Tuesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-01-25,Monday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday / semester transition,No,Yes,Official / published calendar cross-check,Complete,"District-approved calendar indicates second semester begins Jan. 26, so Jan. 25 is used here. A Jewish for Good childcare schedule lists Jan. 26 instead.",https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-01-25,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,School Closure,School closed — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-02-08,Monday,Durham Academy,All students,Professional Development,Faculty Professional Development,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-02-10,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
